Run,Dataset,Label_Ratio,GMean,Labeling Strategy
0,INSECTS incremental_imbalanced,0.05,0.255837528,Uniform
0,INSECTS incremental_imbalanced,0.05,0.242934383,Non_Uniform
0,INSECTS incremental_imbalanced,0.1,0.255011261,Uniform
0,INSECTS incremental_imbalanced,0.1,0.251863716,Non_Uniform
0,INSECTS incremental_imbalanced,0.2,0.205993271,Uniform
0,INSECTS incremental_imbalanced,0.2,0.285039866,Non_Uniform
0,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
0,INSECTS incremental_imbalanced,0.5,0.359279437,Non_Uniform
0,INSECTS incremental_imbalanced,1,0.397326651,Uniform
0,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
0,INSECTS incremental-abrupt_imbalanced,0.05,0.258644941,Uniform
0,INSECTS incremental-abrupt_imbalanced,0.05,0.236157961,Non_Uniform
0,INSECTS incremental-abrupt_imbalanced,0.1,0.261829691,Uniform
0,INSECTS incremental-abrupt_imbalanced,0.1,0.257468998,Non_Uniform
0,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247,Uniform
0,INSECTS incremental-abrupt_imbalanced,0.2,0.283083901,Non_Uniform
0,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
0,INSECTS incremental-abrupt_imbalanced,0.5,0.355563851,Non_Uniform
0,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
0,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
0,Keystroke,0.05,0.469252723,Uniform
0,Keystroke,0.05,0.59327271,Non_Uniform
0,Keystroke,0.1,0.677857726,Uniform
0,Keystroke,0.1,0.637024126,Non_Uniform
0,Keystroke,0.2,0.74264432,Uniform
0,Keystroke,0.2,0.778310969,Non_Uniform
0,Keystroke,0.5,0.684794435,Uniform
0,Keystroke,0.5,0.921778888,Non_Uniform
0,Keystroke,1,0.940603409,Uniform
0,Keystroke,1,0.940603409,Non_Uniform
0,NOAA,0.05,0.54789658,Uniform
0,NOAA,0.05,0.528254552,Non_Uniform
0,NOAA,0.1,0.566683737,Uniform
0,NOAA,0.1,0.577678061,Non_Uniform
0,NOAA,0.2,0.576154674,Uniform
0,NOAA,0.2,0.624490473,Non_Uniform
0,NOAA,0.5,0.65697857,Uniform
0,NOAA,0.5,0.670338075,Non_Uniform
0,NOAA,1,0.673206388,Uniform
0,NOAA,1,0.673206388,Non_Uniform
0,Ozone,0.05,0.398216804,Uniform
0,Ozone,0.05,0.421495696,Non_Uniform
0,Ozone,0.1,0.499601971,Uniform
0,Ozone,0.1,0.394176624,Non_Uniform
0,Ozone,0.2,0.530672797,Uniform
0,Ozone,0.2,0.440245242,Non_Uniform
0,Ozone,0.5,0.485630903,Uniform
0,Ozone,0.5,0.51948744,Non_Uniform
0,Ozone,1,0.474968935,Uniform
0,Ozone,1,0.474968935,Non_Uniform
1,INSECTS incremental_imbalanced,0.05,0.244001277,Uniform
1,INSECTS incremental_imbalanced,0.05,0.258194512,Non_Uniform
1,INSECTS incremental_imbalanced,0.1,0.250226153,Uniform
1,INSECTS incremental_imbalanced,0.1,0.251797873,Non_Uniform
1,INSECTS incremental_imbalanced,0.2,0.201822281,Uniform
1,INSECTS incremental_imbalanced,0.2,0.25518234,Non_Uniform
1,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
1,INSECTS incremental_imbalanced,0.5,0.351627738,Non_Uniform
1,INSECTS incremental_imbalanced,1,0.397326651,Uniform
1,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
1,INSECTS incremental-abrupt_imbalanced,0.05,0.246213318,Uniform
1,INSECTS incremental-abrupt_imbalanced,0.05,0.252310474,Non_Uniform
1,INSECTS incremental-abrupt_imbalanced,0.1,0.251056904,Uniform
1,INSECTS incremental-abrupt_imbalanced,0.1,0.257100931,Non_Uniform
1,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247,Uniform
1,INSECTS incremental-abrupt_imbalanced,0.2,0.274796293,Non_Uniform
1,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
1,INSECTS incremental-abrupt_imbalanced,0.5,0.345941502,Non_Uniform
