Run,Dataset,Label_Ratio,GMean
0,INSECTS incremental_imbalanced,0.05,0.242934383
0,INSECTS incremental_imbalanced,0.1,0.251863716
0,INSECTS incremental_imbalanced,0.2,0.285039866
0,INSECTS incremental_imbalanced,0.5,0.359279437
0,INSECTS incremental_imbalanced,1,0.397326651
0,INSECTS incremental-abrupt_imbalanced,0.05,0.236157961
0,INSECTS incremental-abrupt_imbalanced,0.1,0.257468998
0,INSECTS incremental-abrupt_imbalanced,0.2,0.283083901
0,INSECTS incremental-abrupt_imbalanced,0.5,0.355563851
0,INSECTS incremental-abrupt_imbalanced,1,0.388659324
0,Keystroke,0.05,0.59327271
0,Keystroke,0.1,0.637024126
0,Keystroke,0.2,0.778310969
0,Keystroke,0.5,0.921778888
0,Keystroke,1,0.940603409
0,NOAA,0.05,0.528254552
0,NOAA,0.1,0.577678061
0,NOAA,0.2,0.624490473
0,NOAA,0.5,0.670338075
0,NOAA,1,0.673206388
0,Ozone,0.05,0.421495696
0,Ozone,0.1,0.394176624
0,Ozone,0.2,0.440245242
0,Ozone,0.5,0.51948744
0,Ozone,1,0.474968935
1,INSECTS incremental_imbalanced,0.05,0.258194512
1,INSECTS incremental_imbalanced,0.1,0.251797873
1,INSECTS incremental_imbalanced,0.2,0.25518234
1,INSECTS incremental_imbalanced,0.5,0.351627738
1,INSECTS incremental_imbalanced,1,0.397326651
1,INSECTS incremental-abrupt_imbalanced,0.05,0.252310474
1,INSECTS incremental-abrupt_imbalanced,0.1,0.257100931
1,INSECTS incremental-abrupt_imbalanced,0.2,0.274796293
1,INSECTS incremental-abrupt_imbalanced,0.5,0.345941502
1,INSECTS incremental-abrupt_imbalanced,1,0.388659324
1,Keystroke,0.05,0.612248899
1,Keystroke,0.1,0.701325352
1,Keystroke,0.2,0.766948155
1,Keystroke,0.5,0.90841612
1,Keystroke,1,0.940603409
1,NOAA,0.05,0.547795416
1,NOAA,0.1,0.589658453
1,NOAA,0.2,0.627770169
1,NOAA,0.5,0.660367719
1,NOAA,1,0.673206388
1,Ozone,0.05,0.380077347
1,Ozone,0.1,0.492187061
1,Ozone,0.2,0.434882861
1,Ozone,0.5,0.547587842
1,Ozone,1,0.474968935
2,INSECTS incremental_imbalanced,0.05,0.250711824
2,INSECTS incremental_imbalanced,0.1,0.262608305
2,INSECTS incremental_imbalanced,0.2,0.256454695
2,INSECTS incremental_imbalanced,0.5,0.357925847
2,INSECTS incremental_imbalanced,1,0.397326651
2,INSECTS incremental-abrupt_imbalanced,0.05,0.259696735
2,INSECTS incremental-abrupt_imbalanced,0.1,0.254013209
2,INSECTS incremental-abrupt_imbalanced,0.2,0.270482332
2,INSECTS incremental-abrupt_imbalanced,0.5,0.346305037
2,INSECTS incremental-abrupt_imbalanced,1,0.388659324
2,Keystroke,0.05,0.56019863
2,Keystroke,0.1,0.662288272
2,Keystroke,0.2,0.795295227
2,Keystroke,0.5,0.908294157
2,Keystroke,1,0.940603409
2,NOAA,0.05,0.546718739
2,NOAA,0.1,0.57007606
2,NOAA,0.2,0.628026454
2,NOAA,0.5,0.668470284
2,NOAA,1,0.673206388
2,Ozone,0.05,0.436913905
2,Ozone,0.1,0.538759114
2,Ozone,0.2,0.53285796
2,Ozone,0.5,0.452147303
2,Ozone,1,0.474968935
3,INSECTS incremental_imbalanced,0.05,0.263803432
3,INSECTS incremental_imbalanced,0.1,0.250172738
3,INSECTS incremental_imbalanced,0.2,0.271816336
3,INSECTS incremental_imbalanced,0.5,0.341307186
3,INSECTS incremental_imbalanced,1,0.397326651
3,INSECTS incremental-abrupt_imbalanced,0.05,0.238655601
3,INSECTS incremental-abrupt_imbalanced,0.1,0.259009632
3,INSECTS incremental-abrupt_imbalanced,0.2,0.269915542
3,INSECTS incremental-abrupt_imbalanced,0.5,0.343015586
3,INSECTS incremental-abrupt_imbalanced,1,0.388659324
3,Keystroke,0.05,0.588161238
3,Keystroke,0.1,0.653080835
3,Keystroke,0.2,0.812379834
3,Keystroke,0.5,0.934939509
3,Keystroke,1,0.940603409
3,NOAA,0.05,0.52303643
3,NOAA,0.1,0.572187814
3,NOAA,0.2,0.61928563
3,NOAA,0.5,0.66363688
3,NOAA,1,0.673206388
3,Ozone,0.05,0.482077607
3,Ozone,0.1,0.49049782
3,Ozone,0.2,0.487955694
3,Ozone,0.5,0.524881541
3,Ozone,1,0.474968935
4,INSECTS incremental_imbalanced,0.05,0.241839066
4,INSECTS incremental_imbalanced,0.1,0.262404183
4,INSECTS incremental_imbalanced,0.2,0.268948173
4,INSECTS incremental_imbalanced,0.5,0.35389686
4,INSECTS incremental_imbalanced,1,0.397326651
4,INSECTS incremental-abrupt_imbalanced,0.05,0.251877583
4,INSECTS incremental-abrupt_imbalanced,0.1,0.261035944
4,INSECTS incremental-abrupt_imbalanced,0.2,0.269209632
4,INSECTS incremental-abrupt_imbalanced,0.5,0.343706388
4,INSECTS incremental-abrupt_imbalanced,1,0.388659324
4,Keystroke,0.05,0.520282052
4,Keystroke,0.1,0.681957416
4,Keystroke,0.2,0.778794242
4,Keystroke,0.5,0.924107119
4,Keystroke,1,0.940603409
4,NOAA,0.05,0.549819551
4,NOAA,0.1,0.578400211
4,NOAA,0.2,0.608368351
4,NOAA,0.5,0.657823484
4,NOAA,1,0.673206388
4,Ozone,0.05,0.304615978
4,Ozone,0.1,0.493646394
4,Ozone,0.2,0.524766068
4,Ozone,0.5,0.47167336
4,Ozone,1,0.474968935
5,INSECTS incremental_imbalanced,0.05,0.252895613
5,INSECTS incremental_imbalanced,0.1,0.251342382
5,INSECTS incremental_imbalanced,0.2,0.264529632
5,INSECTS incremental_imbalanced,0.5,0.346650301
5,INSECTS incremental_imbalanced,1,0.397326651
5,INSECTS incremental-abrupt_imbalanced,0.05,0.256837837
5,INSECTS incremental-abrupt_imbalanced,0.1,0.254176069
5,INSECTS incremental-abrupt_imbalanced,0.2,0.270830974
5,INSECTS incremental-abrupt_imbalanced,0.5,0.344813338
5,INSECTS incremental-abrupt_imbalanced,1,0.388659324
5,Keystroke,0.05,0.589997541
5,Keystroke,0.1,0.620890527
5,Keystroke,0.2,0.772366336
5,Keystroke,0.5,0.913705754
5,Keystroke,1,0.940603409
5,NOAA,0.05,0.544525938
5,NOAA,0.1,0.574193143
5,NOAA,0.2,0.622771661
5,NOAA,0.5,0.667582244
5,NOAA,1,0.673206388
5,Ozone,0.05,0.353236511
5,Ozone,0.1,0.430155468
5,Ozone,0.2,0.522103146
5,Ozone,0.5,0.524996989
5,Ozone,1,0.474968935
6,INSECTS incremental_imbalanced,0.05,0.25230274
6,INSECTS incremental_imbalanced,0.1,0.248251697
6,INSECTS incremental_imbalanced,0.2,0.254961198
6,INSECTS incremental_imbalanced,0.5,0.347937391
6,INSECTS incremental_imbalanced,1,0.397326651
6,INSECTS incremental-abrupt_imbalanced,0.05,0.257426363
6,INSECTS incremental-abrupt_imbalanced,0.1,0.248427169
6,INSECTS incremental-abrupt_imbalanced,0.2,0.27392352
6,INSECTS incremental-abrupt_imbalanced,0.5,0.34272526
6,INSECTS incremental-abrupt_imbalanced,1,0.388659324
6,Keystroke,0.05,0.563288991
6,Keystroke,0.1,0.648722985
6,Keystroke,0.2,0.758870927
6,Keystroke,0.5,0.928235031
6,Keystroke,1,0.940603409
6,NOAA,0.05,0.527035728
6,NOAA,0.1,0.58076393
6,NOAA,0.2,0.617389563
6,NOAA,0.5,0.665489682
6,NOAA,1,0.673206388
6,Ozone,0.05,0.274389941
6,Ozone,0.1,0.452857705
6,Ozone,0.2,0.501320978
6,Ozone,0.5,0.525689141
6,Ozone,1,0.474968935
7,INSECTS incremental_imbalanced,0.05,0.244621361
7,INSECTS incremental_imbalanced,0.1,0.246273941
7,INSECTS incremental_imbalanced,0.2,0.274685661
7,INSECTS incremental_imbalanced,0.5,0.339862602
7,INSECTS incremental_imbalanced,1,0.397326651
7,INSECTS incremental-abrupt_imbalanced,0.05,0.239798184
7,INSECTS incremental-abrupt_imbalanced,0.1,0.256193207
7,INSECTS incremental-abrupt_imbalanced,0.2,0.279147133
7,INSECTS incremental-abrupt_imbalanced,0.5,0.353344014
7,INSECTS incremental-abrupt_imbalanced,1,0.388659324
7,Keystroke,0.05,0.541260967
7,Keystroke,0.1,0.683182373
7,Keystroke,0.2,0.789351392
7,Keystroke,0.5,0.919260594
7,Keystroke,1,0.940603409
7,NOAA,0.05,0.537127183
7,NOAA,0.1,0.577075604
7,NOAA,0.2,0.630285891
7,NOAA,0.5,0.66742029
7,NOAA,1,0.673206388
7,Ozone,0.05,0.430792047
7,Ozone,0.1,0.505836509
7,Ozone,0.2,0.436913905
7,Ozone,0.5,0.495316918
7,Ozone,1,0.474968935
8,INSECTS incremental_imbalanced,0.05,0.248841589
8,INSECTS incremental_imbalanced,0.1,0.250865499
8,INSECTS incremental_imbalanced,0.2,0.27139265
8,INSECTS incremental_imbalanced,0.5,0.353386544
8,INSECTS incremental_imbalanced,1,0.397326651
8,INSECTS incremental-abrupt_imbalanced,0.05,0.253693052
8,INSECTS incremental-abrupt_imbalanced,0.1,0.252956263
8,INSECTS incremental-abrupt_imbalanced,0.2,0.262074709
8,INSECTS incremental-abrupt_imbalanced,0.5,0.34104203
8,INSECTS incremental-abrupt_imbalanced,1,0.388659324
8,Keystroke,0.05,0.543876877
8,Keystroke,0.1,0.670718413
8,Keystroke,0.2,0.781840013
8,Keystroke,0.5,0.92117095
8,Keystroke,1,0.940603409
8,NOAA,0.05,0.552333757
8,NOAA,0.1,0.574482305
8,NOAA,0.2,0.618447058
8,NOAA,0.5,0.667280663
8,NOAA,1,0.673206388
8,Ozone,0.05,0.374852416
8,Ozone,0.1,0.399732467
8,Ozone,0.2,0.49888683
8,Ozone,0.5,0.496079699
8,Ozone,1,0.474968935
9,INSECTS incremental_imbalanced,0.05,0.249209698
9,INSECTS incremental_imbalanced,0.1,0.245513636
9,INSECTS incremental_imbalanced,0.2,0.2628174
