Run,Dataset,LR_5,LR_10,LR_20,LR_50,LR_100
0,INSECTS incremental-abrupt_imbalanced,0.236157961,0.257468998,0.283083901,0.355563851,0.388659324
0,INSECTS incremental_imbalanced,0.242934383,0.251863716,0.285039866,0.359279437,0.397326651
0,Keystroke,0.59327271,0.637024126,0.778310969,0.921778888,0.940603409
0,NOAA,0.528254552,0.577678061,0.624490473,0.670338075,0.673206388
0,Ozone,0.421495696,0.394176624,0.440245242,0.51948744,0.474968935
1,INSECTS incremental-abrupt_imbalanced,0.252310474,0.257100931,0.274796293,0.345941502,0.388659324
1,INSECTS incremental_imbalanced,0.258194512,0.251797873,0.25518234,0.351627738,0.397326651
1,Keystroke,0.612248899,0.701325352,0.766948155,0.90841612,0.940603409
1,NOAA,0.547795416,0.589658453,0.627770169,0.660367719,0.673206388
1,Ozone,0.380077347,0.492187061,0.434882861,0.547587842,0.474968935
2,INSECTS incremental-abrupt_imbalanced,0.259696735,0.254013209,0.270482332,0.346305037,0.388659324
2,INSECTS incremental_imbalanced,0.250711824,0.262608305,0.256454695,0.357925847,0.397326651
2,Keystroke,0.56019863,0.662288272,0.795295227,0.908294157,0.940603409
2,NOAA,0.546718739,0.57007606,0.628026454,0.668470284,0.673206388
2,Ozone,0.436913905,0.538759114,0.53285796,0.452147303,0.474968935
3,INSECTS incremental-abrupt_imbalanced,0.238655601,0.259009632,0.269915542,0.343015586,0.388659324
3,INSECTS incremental_imbalanced,0.263803432,0.250172738,0.271816336,0.341307186,0.397326651
3,Keystroke,0.588161238,0.653080835,0.812379834,0.934939509,0.940603409
3,NOAA,0.52303643,0.572187814,0.61928563,0.66363688,0.673206388
3,Ozone,0.482077607,0.49049782,0.487955694,0.524881541,0.474968935
4,INSECTS incremental-abrupt_imbalanced,0.251877583,0.261035944,0.269209632,0.343706388,0.388659324
4,INSECTS incremental_imbalanced,0.241839066,0.262404183,0.268948173,0.35389686,0.397326651
4,Keystroke,0.520282052,0.681957416,0.778794242,0.924107119,0.940603409
4,NOAA,0.549819551,0.578400211,0.608368351,0.657823484,0.673206388
4,Ozone,0.304615978,0.493646394,0.524766068,0.47167336,0.474968935
5,INSECTS incremental-abrupt_imbalanced,0.256837837,0.254176069,0.270830974,0.344813338,0.388659324
