Run,Dataset,LR_5,LR_10,LR_20,LR_50,LR_100
0,INSECTS incremental-abrupt_imbalanced,0.258644941,0.261829691,0.253076247,0.237086753,0.388659324
0,INSECTS incremental_imbalanced,0.255837528,0.255011261,0.205993271,0.140975782,0.397326651
0,Keystroke,0.469252723,0.677857726,0.74264432,0.684794435,0.940603409
0,NOAA,0.54789658,0.566683737,0.576154674,0.65697857,0.673206388
0,Ozone,0.398216804,0.499601971,0.530672797,0.485630903,0.474968935
1,INSECTS incremental-abrupt_imbalanced,0.246213318,0.251056904,0.253076247,0.237086753,0.388659324
1,INSECTS incremental_imbalanced,0.244001277,0.250226153,0.201822281,0.140975782,0.397326651
1,Keystroke,0.597571456,0.631897724,0.759429881,0.684794435,0.940603409
1,NOAA,0.555652906,0.56867797,0.576154674,0.664807861,0.673206388
1,Ozone,0.458679414,0.450062062,0.530672797,0.521537607,0.474968935
2,INSECTS incremental-abrupt_imbalanced,0.251629667,0.246661802,0.253076247,0.237086753,0.388659324
2,INSECTS incremental_imbalanced,0.255837528,0.250226153,0.205993271,0.140975782,0.397326651
2,Keystroke,0.618715253,0.692701923,0.808101158,0.684794435,0.940603409
2,NOAA,0.527218925,0.564682885,0.564626106,0.65697857,0.673206388
2,Ozone,0.328552705,0.450062062,0.483722719,0.485630903,0.474968935
3,INSECTS incremental-abrupt_imbalanced,0.256395692,0.236515795,0.253076247,0.237086753,0.388659324
3,INSECTS incremental_imbalanced,0.256502765,0.250226153,0.205993271,0.140975782,0.397326651
3,Keystroke,0.564406712,0.660722537,0.759429881,0.684794435,0.940603409
3,NOAA,0.527218925,0.568087838,0.576154674,0.65697857,0.673206388
3,Ozone,0.386896732,0.450062062,0.530672797,0.521537607,0.474968935
4,INSECTS incremental-abrupt_imbalanced,0.253621112,0.255928533,0.253076247,0.237086753,0.388659324
4,INSECTS incremental_imbalanced,0.257925235,0.248115518,0.205993271,0.140975782,0.397326651
4,Keystroke,0.497770431,0.703439806,0.808101158,0.684794435,0.940603409
4,NOAA,0.527224883,0.555774044,0.564626106,0.65697857,0.673206388
4,Ozone,0.459718001,0.500547761,0.526925722,0.485630903,0.474968935
5,INSECTS incremental-abrupt_imbalanced,0.263494076,0.246993937,0.253076247,0.237086753,0.388659324
5,INSECTS incremental_imbalanced,0.241775004,0.242432147,0.198063957,0.140975782,0.397326651
5,Keystroke,0.60143995,0.718405722,0.74264432,0.684794435,0.940603409
5,NOAA,0.527224883,0.568087838,0.576154674,0.65697857,0.673206388
5,Ozone,0.336739118,0.529920032,0.529621612,0.485630903,0.474968935
6,INSECTS incremental-abrupt_imbalanced,0.236757348,0.246661802,0.245814772,0.237086753,0.388659324
6,INSECTS incremental_imbalanced,0.258671007,0.233883403,0.202891199,0.140975782,0.397326651
6,Keystroke,0.522383044,0.67448349,0.759429881,0.684794435,0.940603409
6,NOAA,0.525271946,0.562893313,0.576886398,0.65697857,0.673206388
6,Ozone,0.459718001,0.430694173,0.529621612,0.521537607,0.474968935
7,INSECTS incremental-abrupt_imbalanced,0.258644941,0.246661802,0.244025048,0.237086753,0.388659324
7,INSECTS incremental_imbalanced,0.256502765,0.247064631,0.201822281,0.140975782,0.397326651
7,Keystroke,0.564406712,0.703439806,0.74264432,0.684794435,0.940603409
7,NOAA,0.525271946,0.568087838,0.574929936,0.664807861,0.673206388
7,Ozone,0.386896732,0.444960184,0.530672797,0.485630903,0.474968935
8,INSECTS incremental-abrupt_imbalanced,0.238917833,0.256377587,0.244025048,0.237086753,0.388659324
8,INSECTS incremental_imbalanced,0.244001277,0.233883403,0.198063957,0.140975782,0.397326651
8,Keystroke,0.497770431,0.703439806,0.808101158,0.684794435,0.940603409
8,NOAA,0.525269049,0.566683737,0.576154674,0.664807861,0.673206388
8,Ozone,0.398216804,0.444960184,0.526925722,0.521537607,0.474968935
9,INSECTS incremental-abrupt_imbalanced,0.243107428,0.256377587,0.244025048,0.237086753,0.388659324
9,INSECTS incremental_imbalanced,0.235156016,0.242432147,0.201822281,0.140975782,0.397326651
9,Keystroke,0.552038438,0.649606869,0.759429881,0.684794435,0.940603409
9,NOAA,0.54276091,0.566683737,0.576886398,0.664807861,0.673206388
9,Ozone,0.415783916,0.499601971,0.483722719,0.521537607,0.474968935
10,INSECTS incremental-abrupt_imbalanced,0.236757348,0.261829691,0.253076247,0.237086753,0.388659324
10,INSECTS incremental_imbalanced,0.235156016,0.253359944,0.205993271,0.140975782,0.397326651
10,Keystroke,0.552038438,0.67448349,0.759429881,0.684794435,0.940603409
10,NOAA,0.555939853,0.555774044,0.564626106,0.65697857,0.673206388
10,Ozone,0.415783916,0.487555938,0.530672797,0.521537607,0.474968935
11,INSECTS incremental-abrupt_imbalanced,0.245969896,0.251056904,0.253076247,0.237086753,0.388659324
11,INSECTS incremental_imbalanced,0.258671007,0.242432147,0.201822281,0.140975782,0.397326651
11,Keystroke,0.469252723,0.718405722,0.74264432,0.684794435,0.940603409
11,NOAA,0.537464699,0.566683737,0.564626106,0.65697857,0.673206388
11,Ozone,0.448584292,0.444960184,0.529621612,0.485630903,0.474968935
12,INSECTS incremental-abrupt_imbalanced,0.242604459,0.253502868,0.244025048,0.237086753,0.388659324
12,INSECTS incremental_imbalanced,0.258429644,0.253359944,0.198063957,0.140975782,0.397326651
12,Keystroke,0.485784035,0.67448349,0.794458979,0.684794435,0.940603409
12,NOAA,0.527218925,0.562893313,0.574929936,0.65697857,0.673206388
12,Ozone,0.393654881,0.450062062,0.526925722,0.521537607,0.474968935
13,INSECTS incremental-abrupt_imbalanced,0.255361849,0.258921829,0.245814772,0.237086753,0.388659324
13,INSECTS incremental_imbalanced,0.235156016,0.255011261,0.202891199,0.140975782,0.397326651
13,Keystroke,0.549737125,0.669397273,0.759429881,0.684794435,0.940603409
13,NOAA,0.537464699,0.562893313,0.576886398,0.65697857,0.673206388
13,Ozone,0.481380222,0.444960184,0.526925722,0.521537607,0.474968935
14,INSECTS incremental-abrupt_imbalanced,0.256395692,0.246993937,0.244025048,0.237086753,0.388659324
14,INSECTS incremental_imbalanced,0.237393893,0.255011261,0.198063957,0.140975782,0.397326651
14,Keystroke,0.618715253,0.669397273,0.74264432,0.684794435,0.940603409
14,NOAA,0.555939853,0.598205873,0.576886398,0.65697857,0.673206388
14,Ozone,0.474030474,0.444960184,0.483722719,0.485630903,0.474968935
15,INSECTS incremental-abrupt_imbalanced,0.256395692,0.252093362,0.245814772,0.237086753,0.388659324
15,INSECTS incremental_imbalanced,0.257925235,0.253359944,0.198063957,0.140975782,0.397326651
15,Keystroke,0.618715253,0.669397273,0.74264432,0.684794435,0.940603409
15,NOAA,0.54276091,0.568087838,0.576886398,0.664807861,0.673206388
15,Ozone,0.460799995,0.412111128,0.526925722,0.485630903,0.474968935
16,INSECTS incremental-abrupt_imbalanced,0.245081382,0.252093362,0.245814772,0.237086753,0.388659324
16,INSECTS incremental_imbalanced,0.23777554,0.243818076,0.205993271,0.140975782,0.397326651
16,Keystroke,0.595635683,0.703439806,0.759429881,0.684794435,0.940603409
16,NOAA,0.527224883,0.598205873,0.574929936,0.664807861,0.673206388
16,Ozone,0.29514409,0.500547761,0.530672797,0.485630903,0.474968935
