Dataset,LabelingStrategy,LabelingRatio,ImbalanceRatio,H,N,lam,alpha,beta,gamma,Best_GMean
SINE,uniform,0.05,0.01,92,8,0.33551256673858953,0.003879155156356765,0.9521921760997948,1.829188539910996,0.2968009647343855
SINE,uniform,0.05,0.1,64,6,0.1288509419684017,0.0017027948362089988,1.06699692659737,0.2807961568212469,0.4975400344632048
SINE,uniform,0.2,0.3,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.7515073786986891
SEA,nonuniform,0.05,0.01,92,8,0.33551256673858953,0.003879155156356765,0.9521921760997948,1.829188539910996,0.42658243561163084
SEA,nonuniform,0.05,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7889759707325894
SEA,nonuniform,0.05,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.9103203785791721
SEA,nonuniform,0.05,0.5,99,19,0.47582054041198085,0.0032606057694905075,0.7265696629552281,1.9230823238536416,0.9284310197401983
SEA,nonuniform,0.1,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.4169437770706676
SEA,nonuniform,0.1,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.8531726379796721
SEA,nonuniform,0.1,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9291550050996109
SEA,nonuniform,0.1,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9401275572933603
SEA,nonuniform,0.2,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.5517657351961429
SEA,nonuniform,0.2,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.8907041176577483
SINE,uniform,0.2,0.5,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,0.8029527466241823
SEA,nonuniform,0.2,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9435239822388534
