Labeling Strategy,Family,Label,GMean_1,GMean_10,GMean_30,GMean_50,Delta_50_30,Delta_50_10,Delta_50_1,Delta_30_10,Delta_30_1,Delta_10_1
nonuniform,AGRAWAL,5,0.1628,0.3671,0.5081,0.6024,0.0943,0.2353,0.4396,0.141,0.3453,0.2043
nonuniform,AGRAWAL,10,0.2262,0.3563,0.5127,0.6368,0.124,0.2805,0.4105,0.1565,0.2865,0.13
nonuniform,AGRAWAL,20,0.194,0.3706,0.6651,0.7625,0.0974,0.3919,0.5684,0.2945,0.471,0.1766
nonuniform,AGRAWAL,50,0.2521,0.4854,0.7766,0.8126,0.036,0.3272,0.5605,0.2912,0.5245,0.2333
nonuniform,AGRAWAL,100,0.2586,0.6659,0.8291,0.8664,0.0374,0.2006,0.6079,0.1632,0.5705,0.4073
nonuniform,SEA,5,0.3407,0.7725,0.8959,0.9259,0.03,0.1534,0.5852,0.1234,0.5552,0.4318
nonuniform,SEA,10,0.395,0.8341,0.9198,0.9398,0.02,0.1057,0.5448,0.0858,0.5248,0.4391
nonuniform,SEA,20,0.4869,0.8832,0.9402,0.9529,0.0126,0.0697,0.4659,0.057,0.4533,0.3963
nonuniform,SEA,50,0.69,0.9198,0.9586,0.9707,0.0122,0.0509,0.2808,0.0387,0.2686,0.2299
nonuniform,SEA,100,0.7755,0.936,0.9675,0.9785,0.011,0.0425,0.2029,0.0315,0.192,0.1605
nonuniform,SINE,5,0.2571,0.5086,0.7105,0.7649,0.0543,0.2562,0.5077,0.2019,0.4534,0.2515
nonuniform,SINE,10,0.2311,0.5064,0.7335,0.7866,0.0531,0.2802,0.5555,0.2271,0.5024,0.2753
nonuniform,SINE,20,0.233,0.6234,0.766,0.81,0.0441,0.1867,0.577,0.1426,0.533,0.3904
nonuniform,SINE,50,0.2763,0.7025,0.8124,0.8448,0.0324,0.1423,0.5685,0.1099,0.5362,0.4263
nonuniform,SINE,100,0.295,0.7421,0.8388,0.8698,0.031,0.1278,0.5748,0.0968,0.5439,0.4471
nonuniform,STAGGER,5,0.3282,0.6696,0.9138,0.9297,0.0159,0.2601,0.6015,0.2442,0.5856,0.3414
nonuniform,STAGGER,10,0.3481,0.8245,0.9589,0.9597,0.0009,0.1352,0.6116,0.1343,0.6107,0.4764
nonuniform,STAGGER,20,0.4154,0.9208,0.9843,0.9805,-0.0038,0.0597,0.5651,0.0635,0.5689,0.5054
nonuniform,STAGGER,50,0.6134,0.9787,0.9923,0.9922,-0.0001,0.0135,0.3788,0.0136,0.3789,0.3653
nonuniform,STAGGER,100,0.6882,0.9844,0.9956,0.9945,-0.0011,0.0101,0.3063,0.0113,0.3074,0.2962
uniform,AGRAWAL,5,0.2356,0.3751,0.5162,0.6004,0.0842,0.2253,0.3648,0.1411,0.2806,0.1395
uniform,AGRAWAL,10,0.2464,0.372,0.4933,0.6563,0.163,0.2843,0.4099,0.1213,0.2469,0.1256
uniform,AGRAWAL,20,0.2593,0.4112,0.6623,0.7642,0.1019,0.353,0.5049,0.2511,0.403,0.1519
uniform,AGRAWAL,50,0.2634,0.4884,0.7438,0.8131,0.0693,0.3248,0.5497,0.2555,0.4804,0.2249
uniform,AGRAWAL,100,0.2531,0.6666,0.8346,0.8661,0.0315,0.1995,0.613,0.168,0.5815,0.4135
uniform,SEA,5,0.2915,0.7363,0.8919,0.9186,0.0267,0.1822,0.6271,0.1555,0.6004,0.4448
uniform,SEA,10,0.3897,0.8311,0.9203,0.9381,0.0177,0.107,0.5483,0.0892,0.5306,0.4414
uniform,SEA,20,0.5169,0.8852,0.9393,0.9534,0.0141,0.0682,0.4365,0.0541,0.4224,0.3683
uniform,SEA,50,0.6855,0.92,0.9581,0.9708,0.0127,0.0508,0.2854,0.0381,0.2727,0.2346
uniform,SEA,100,0.7655,0.936,0.9675,0.9784,0.0109,0.0425,0.2129,0.0315,0.202,0.1704
uniform,SINE,5,0.1969,0.5076,0.6926,0.7594,0.0668,0.2518,0.5625,0.185,0.4957,0.3107
uniform,SINE,10,0.2192,0.5171,0.7246,0.7895,0.065,0.2724,0.5703,0.2075,0.5053,0.2979
uniform,SINE,20,0.2451,0.6232,0.7623,0.8118,0.0495,0.1886,0.5667,0.1392,0.5172,0.3781
uniform,SINE,50,0.2549,0.7016,0.8113,0.8455,0.0342,0.1439,0.5906,0.1097,0.5563,0.4467
uniform,SINE,100,0.3604,0.7415,0.8391,0.8698,0.0307,0.1283,0.5095,0.0975,0.4787,0.3812
uniform,STAGGER,5,0.3131,0.6338,0.9183,0.9392,0.0209,0.3054,0.6261,0.2845,0.6052,0.3207
uniform,STAGGER,10,0.3374,0.7665,0.9615,0.9638,0.0023,0.1973,0.6263,0.195,0.624,0.4291
uniform,STAGGER,20,0.4417,0.8985,0.9855,0.9798,-0.0057,0.0813,0.5381,0.087,0.5438,0.4568
uniform,STAGGER,50,0.4628,0.9731,0.9932,0.9917,-0.0015,0.0186,0.5289,0.02,0.5304,0.5104
uniform,STAGGER,100,0.6973,0.9882,0.9957,0.9949,-0.0008,0.0067,0.2976,0.0075,0.2985,0.291
