Dataset,Drift Speed,Labeling Strategy,Imbalance,Label,Accuracy,Precision,Recall,F1,Specificity,GMean,H,N,lam,alpha,beta,gamma
AGRAWAL1,abrupt,nonuniform,1,5,0.964023201160058,0.00852840863639995,0.0249999999999998,0.012330411722515151,0.973534016869539,0.15543586822406114,85.0,12.0,0.3037830537411999,0.0011406341876119,1.9261373496615832,1.58698961111526
AGRAWAL1,abrupt,nonuniform,1,10,0.932621631081554,0.01011650838723925,0.057499999999999704,0.0170957897197882,0.9414869437850397,0.2325501569852242,86.0,6.0,0.3208042704779914,0.0049925107714598,1.1515482249562337,0.2125644708990385
AGRAWAL1,abrupt,nonuniform,1,20,0.9517725886294315,0.0105629877369007,0.042499999999999746,0.0167102738528005,0.9609576241224305,0.2016645947352257,81.0,12.0,0.0117994901347277,0.0010740442063532,0.6647371288051735,0.594269953824625
AGRAWAL1,abrupt,nonuniform,1,50,0.9333966698334916,0.012965615293297698,0.0699999999999996,0.022159659817127753,0.9421687964038588,0.25654397882680735,81.0,12.0,0.0117994901347277,0.0010740442063532,0.6647371288051735,0.594269953824625
AGRAWAL1,abrupt,nonuniform,1,100,0.936946847342367,0.0123266185772321,0.0699999999999996,0.0209449495566168,0.9457548361028335,0.25677297693415485,93.0,5.0,0.0027030943492653,0.003710593153191,0.7339607179596656,0.6925483640462139
AGRAWAL1,abrupt,nonuniform,10,5,0.7940897044852242,0.1140091047002167,0.1562499999999999,0.13247423150048482,0.8652147341518973,0.3678966748201975,98.0,49.0,0.0049009530509047,0.0010502767653296,0.788675835604729,0.1652428650436977
AGRAWAL1,abrupt,nonuniform,10,10,0.8004650232511625,0.11472686834105214,0.1474999999999999,0.1279690821783041,0.8723540196677593,0.35897904656817803,81.0,12.0,0.0117994901347277,0.0010740442063532,0.6647371288051735,0.594269953824625
AGRAWAL1,abrupt,nonuniform,10,20,0.803965198259913,0.12298975272764054,0.1584999999999999,0.14144102621008303,0.8760486693705206,0.3715926633611214,81.0,12.0,0.0117994901347277,0.0010740442063532,0.6647371288051735,0.594269953824625
AGRAWAL1,abrupt,nonuniform,10,50,0.9065703285164259,0.5919863665187055,0.2119999999999999,0.3127201520203773,0.983887993777432,0.4566709159504665,75.0,48.0,0.2267942334602636,0.0012156234824321,0.6664717289875649,0.128818709021166
AGRAWAL1,abrupt,nonuniform,10,100,0.927846392319616,0.7376491717189592,0.4282499999999998,0.5423298087485653,0.9831379521084507,0.6492062146933277,75.0,48.0,0.2267942334602636,0.0012156234824321,0.6664717289875649,0.128818709021166
AGRAWAL1,abrupt,nonuniform,30,5,0.6095304765238262,0.3530871499357656,0.37124999999999997,0.36090504779151034,0.7139438531323665,0.5118628018222868,98.0,49.0,0.0049009530509047,0.0010502767653296,0.788675835604729,0.1652428650436977
AGRAWAL1,abrupt,nonuniform,30,10,0.6489324466223312,0.39814187225831354,0.3350833333333332,0.3646999822234802,0.7833059504250303,0.5123693260570277,58.0,46.0,0.0033146684520526,0.0013833648396252,0.4283717831400049,1.2076268532060033
AGRAWAL1,abrupt,nonuniform,30,20,0.7671883594179709,0.6621203913610836,0.47191666666666654,0.5425620583534911,0.8979569969283518,0.647406464299837,79.0,47.0,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623
AGRAWAL1,abrupt,nonuniform,30,50,0.8305915295764787,0.7564077113970722,0.6396666666666666,0.6939172873560433,0.9113865276091149,0.7638153731849597,75.0,48.0,0.2267942334602636,0.0012156234824321,0.6664717289875649,0.128818709021166
AGRAWAL1,abrupt,nonuniform,30,100,0.8678683934196709,0.8202144682764836,0.7159999999999999,0.7652008244105443,0.9328880634331023,0.8174694662513955,83.0,42.0,0.3091933399062251,0.0011271064593216,0.8628742643456749,0.4616249051372912
AGRAWAL1,abrupt,nonuniform,50,5,0.6032801640082004,0.6046090076266988,0.6001800530053005,0.5998039847949195,0.6076607660766076,0.6032296888395903,83.0,42.0,0.3091933399062251,0.0011271064593216,0.8628742643456749,0.4616249051372912
AGRAWAL1,abrupt,nonuniform,50,10,0.6310565528276414,0.6302069614696291,0.6446144614461445,0.6375242111926209,0.6167807430743073,0.630363090286366,62.0,46.0,0.5553251543709784,0.0036500507383688,0.5070599933113854,1.2984107099336182
AGRAWAL1,abrupt,nonuniform,50,20,0.7505875293764688,0.7522026054970854,0.7472499999999999,0.7504338277980991,0.752787613761376,0.750463109623722,75.0,48.0,0.2267942334602636,0.0012156234824321,0.6664717289875649,0.128818709021166
AGRAWAL1,abrupt,nonuniform,50,50,0.8046152307615381,0.8065535499442755,0.7986999999999999,0.8038330179814447,0.8080308030803078,0.8045838150875668,74.0,40.0,0.3897139595973644,0.0089853832811235,0.7130898374013127,0.1577911371886255
AGRAWAL1,abrupt,nonuniform,50,100,0.8536426821341068,0.8544253543325665,0.8533499999999998,0.8535588755890999,0.8547499999999999,0.853642277567465,62.0,46.0,0.5553251543709784,0.0036500507383688,0.5070599933113854,1.2984107099336182
AGRAWAL1,abrupt,uniform,1,5,0.9454222711135557,0.00934413244031725,0.0499999999999997,0.01592974560562705,0.9544673973433002,0.2178599740581461,52.0,12.0,0.6897165635868227,0.0010634304002277,1.8158377856446783,1.2358251862642864
AGRAWAL1,abrupt,uniform,1,10,0.948022401120056,0.01003010036136525,0.0449999999999997,0.01432322831638715,0.9571190464164857,0.20628723098477875,85.0,12.0,0.3037830537411999,0.0011406341876119,1.9261373496615832,1.58698961111526
AGRAWAL1,abrupt,uniform,1,20,0.9360718035901795,0.01241846616499185,0.0699999999999996,0.021054131053882652,0.9446689226728623,0.25724758895791533,64.0,6.0,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469
