Dataset,Drift Speed,Labeling Strategy,Imbalance,Label,Accuracy,Precision,Recall,F1,Specificity,GMean,H,N,lam,alpha,beta,gamma,stream_seed,model_seed
SINE1,abrupt,uniform,1,5,0.9585798816568046,0.02756892230576434,0.09166666666666591,0.042389210018912146,0.9673373179560567,0.29777942756225534,92,8,0.3355125667385895,0.0038791551563567,0.9521921760997948,1.829188539910996,15042,30101
SINE1,abrupt,uniform,1,10,0.9628302358529875,0.023391812865497005,0.06666666666666611,0.034632034631649926,0.9718831551477396,0.25454314043631604,89,23,0.3979789728990963,0.0011668352776388,1.604114277578104,0.6051456361752533,15042,30101
SINE1,abrupt,uniform,1,20,0.9669139094924576,0.02405498281786933,0.05833333333333285,0.03406326034021898,0.976092263658557,0.23861834669631338,92,8,0.3355125667385895,0.0038791551563567,0.9521921760997948,1.829188539910996,15042,30101
SINE1,abrupt,uniform,1,50,0.986498874906242,0.1499999999999975,0.07499999999999937,0.09999999999955445,0.9957067093189661,0.2732727633682542,75,48,0.2267942334602636,0.0012156234824321,0.6664717289875649,0.128818709021166,15042,30101
SINE1,abrupt,uniform,1,100,0.989332444370364,0.3571428571428444,0.08333333333333265,0.13513513513482656,0.9984847209361056,0.2884563399858081,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,uniform,10,5,0.8285690474206182,0.22157244964262496,0.28416666666666646,0.24899598393525046,0.8890638022039076,0.5026353520458712,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE1,abrupt,uniform,10,10,0.8106508875739644,0.20678336980306336,0.3149999999999998,0.24966974900876843,0.8657283081766829,0.5222110847881869,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE1,abrupt,uniform,10,20,0.9099924993749477,0.5810810810810803,0.35833333333333306,0.4432989690716926,0.9712936382998424,0.5899549873146622,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,uniform,10,50,0.9241603466955578,0.6693925233644852,0.47749999999999965,0.5573929961084628,0.9737938698027594,0.6818992395001019,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,uniform,10,100,0.9304108675722975,0.6895119418483897,0.5533333333333329,0.6139620896897504,0.9723122511343641,0.7334935439122927,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,uniform,30,5,0.7898158179848319,0.7621595330739296,0.43527777777777765,0.5541018387548411,0.9417787831884746,0.640261958814155,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,uniform,30,10,0.7990665888824068,0.7148536320925187,0.5494444444444443,0.6213287262442074,0.9060602452672936,0.705570526661995,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,uniform,30,20,0.8355696308025667,0.7829565217391302,0.6252777777777776,0.6952895752890813,0.9257054411239432,0.7608042068119606,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,uniform,30,50,0.8643220268355695,0.8207547169811318,0.7008333333333332,0.7560683248421759,0.9343969520180971,0.8092320622289688,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,uniform,30,100,0.8773231102591882,0.8281924737816161,0.7458333333333331,0.7848582285876332,0.9336825812596735,0.8344888206897519,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,uniform,50,5,0.739478289857488,0.7472470750172057,0.7238333333333332,0.7353538774123005,0.7551258543090514,0.7393140497858144,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,uniform,50,10,0.7894824568714058,0.7835455435847207,0.7999999999999999,0.7916872835225083,0.7789631605267543,0.7894115076570669,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,uniform,50,20,0.815151262605217,0.8038239074550128,0.8338333333333332,0.8185536649209658,0.7964660776796132,0.8149355584575491,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,abrupt,uniform,50,50,0.8430702558546544,0.83271375464684,0.8586666666666666,0.845491097070149,0.8274712452075345,0.8429246561139788,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,abrupt,uniform,50,100,0.871322610217518,0.860868156786524,0.8858333333333333,0.873172334482825,0.8568094682447073,0.8712005436676276,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,abrupt,nonuniform,1,5,0.9434119509959162,0.005309734513274327,0.024999999999999793,0.008759124087302228,0.9526896203384122,0.15432835289881153,85,12,0.3037830537411999,0.0011406341876119,1.9261373496615832,1.58698961111526,15042,30101
SINE1,abrupt,nonuniform,1,10,0.9794982915242936,0.04999999999999964,0.05833333333333285,0.05384615384565639,0.9888037713612255,0.24016706684321024,83,42,0.3091933399062251,0.0011271064593216,0.8628742643456749,0.4616249051372912,15042,30101
SINE1,abrupt,nonuniform,1,20,0.9811650970914242,0.07936507936507874,0.08333333333333265,0.08130081300762972,0.9902348682549035,0.2872622014024376,83,42,0.3091933399062251,0.0011271064593216,0.8628742643456749,0.4616249051372912,15042,30101
SINE1,abrupt,nonuniform,1,50,0.9889157429785814,0.23999999999999042,0.049999999999999586,0.08275862068936866,0.9984005387658892,0.2234279009843982,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,nonuniform,1,100,0.9821651804317025,0.03921568627450942,0.033333333333333055,0.036036036035538996,0.9917501473187977,0.18181952107504754,51,35,0.0073236263580707,0.0012407482693307,0.5036582936777547,1.690871591148886,15042,30101
SINE1,abrupt,nonuniform,10,5,0.8086507208934076,0.20152505446623084,0.3083333333333331,0.24374176548041773,0.8642466895082876,0.516213194909224,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE1,abrupt,nonuniform,10,10,0.8359029919159928,0.238968092328581,0.2933333333333331,0.2633744855962129,0.8961940920455597,0.5127217572264356,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE1,abrupt,nonuniform,10,20,0.9096591382615217,0.5819209039548014,0.34333333333333305,0.431865828091776,0.9725900546346883,0.5778603511442674,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,nonuniform,10,50,0.9238269855821317,0.6581858407079638,0.49583333333333296,0.5655893536116766,0.9713862394666171,0.6940069719166112,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,nonuniform,10,100,0.9292441036753062,0.6788990825688066,0.5549999999999996,0.6107290233832734,0.9708306324659689,0.7340374656777489,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,nonuniform,30,5,0.7911492624385364,0.6782920469361146,0.5780555555555554,0.6241751649665096,0.8824860102393141,0.7142310136915733,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,nonuniform,30,10,0.7923993666138843,0.673988076561029,0.5966666666666666,0.632974804773334,0.8762947969996426,0.7230877509286961,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,abrupt,nonuniform,30,20,0.8324860405033752,0.7718878248974006,0.6269444444444443,0.6919068056402163,0.9205857840219072,0.7597079326471903,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,nonuniform,30,50,0.858738228185682,0.8089523191696397,0.6927777777777776,0.7463713900937717,0.9298726038814142,0.8026176400587031,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,nonuniform,30,100,0.8773231102591882,0.8281924737816161,0.7458333333333331,0.7848582285876332,0.9336825812596735,0.8344888206897519,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,nonuniform,50,5,0.7494791232602716,0.7422330097087377,0.7644999999999998,0.7532019704428498,0.7344557426237706,0.7493273084813288,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,nonuniform,50,10,0.7878156513042752,0.7861166335321403,0.7908333333333332,0.7884679295441991,0.784797466244374,0.7878096192746014,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,abrupt,nonuniform,50,20,0.8059838319859988,0.8010823220728106,0.8141666666666666,0.8075714994208919,0.7977996332722119,0.8059416033988603,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,abrupt,nonuniform,50,50,0.8435702975247936,0.8343876723438766,0.8573333333333332,0.8457048910804699,0.8298049674945823,0.8434568505849533,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,abrupt,nonuniform,50,100,0.8689890824235351,0.8612924281984333,0.8796666666666665,0.8703825857514788,0.8583097182863809,0.8689225793202674,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,gradual,uniform,1,5,0.9782481873489456,0.02684563758389244,0.033333333333333055,0.029739776951178454,0.9877935853186294,0.18145647644532845,92,8,0.3355125667385895,0.0038791551563567,0.9521921760997948,1.829188539910996,15042,30101
SINE1,gradual,uniform,1,10,0.9736644720393365,0.019607843137254808,0.033333333333333055,0.024691358024224813,0.9831635659567303,0.18103071249162134,89,23,0.3979789728990963,0.0011668352776388,1.604114277578104,0.6051456361752533,15042,30101
SINE1,gradual,uniform,1,20,0.9786648887407282,0.040540540540540265,0.049999999999999586,0.04477611940249019,0.9880461318292784,0.22226629657117047,92,8,0.3355125667385895,0.0038791551563567,0.9521921760997948,1.829188539910996,15042,30101
SINE1,gradual,uniform,1,50,0.9860821735144594,0.05660377358490459,0.024999999999999793,0.03468208092443008,0.9957908914891824,0.15778077286928643,75,48,0.2267942334602636,0.0012156234824321,0.6664717289875649,0.128818709021166,15042,30101
SINE1,gradual,uniform,1,100,0.9897491457621467,0.45454545454544076,0.12499999999999896,0.19607843137220815,0.9984847209361056,0.353285423018007,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,uniform,10,5,0.8252354362863571,0.19047619047619035,0.22999999999999982,0.20838052095080667,0.8913788313732751,0.4527881747747539,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE1,gradual,uniform,10,10,0.8350695891324276,0.2425644415069397,0.3058333333333331,0.27054920751885775,0.8938790628761921,0.5228556334173917,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE1,gradual,uniform,10,20,0.9114926243853653,0.5898437499999992,0.3774999999999997,0.46036585365806026,0.9708306324659689,0.6053829893182522,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,uniform,10,50,0.9284940411700974,0.6974595842956112,0.503333333333333,0.5847047434651466,0.9757384943050281,0.7008007625568033,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,uniform,10,100,0.9304108675722975,0.6895119418483897,0.5533333333333329,0.6139620896897504,0.9723122511343641,0.7334935439122927,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,uniform,30,5,0.7963996999749978,0.7276662731208183,0.513611111111111,0.6021820550394105,0.917609239195142,0.6865087770078676,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,uniform,30,10,0.7990665888824068,0.7148536320925187,0.5494444444444443,0.6213287262442074,0.9060602452672936,0.705570526661995,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,uniform,30,20,0.8323193599466621,0.7833690221270518,0.609722222222222,0.685723211495915,0.9277294916061434,0.7521019128038368,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,uniform,30,50,0.8643220268355695,0.8207547169811318,0.7008333333333332,0.7560683248421759,0.9343969520180971,0.8092320622289688,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,uniform,30,100,0.8773231102591882,0.8281924737816161,0.7458333333333331,0.7848582285876332,0.9336825812596735,0.8344888206897519,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,uniform,50,5,0.739478289857488,0.7472470750172057,0.7238333333333332,0.7353538774123005,0.7551258543090514,0.7393140497858144,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,uniform,50,10,0.7894824568714058,0.7835455435847207,0.7999999999999999,0.7916872835225083,0.7789631605267543,0.7894115076570669,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,uniform,50,20,0.815151262605217,0.8038239074550128,0.8338333333333332,0.8185536649209658,0.7964660776796132,0.8149355584575491,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,gradual,uniform,50,50,0.8459038253187764,0.8376443793720513,0.8581666666666665,0.8477813451876123,0.8336389398233037,0.8458138980837915,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,gradual,uniform,50,100,0.8689890824235351,0.8612924281984333,0.8796666666666665,0.8703825857514788,0.8583097182863809,0.8689225793202674,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,gradual,nonuniform,1,5,0.9434119509959162,0.005309734513274327,0.024999999999999793,0.008759124087302228,0.9526896203384122,0.15432835289881153,85,12,0.3037830537411999,0.0011406341876119,1.9261373496615832,1.58698961111526,15042,30101
SINE1,gradual,nonuniform,1,10,0.9794982915242936,0.04999999999999964,0.05833333333333285,0.05384615384565639,0.9888037713612255,0.24016706684321024,83,42,0.3091933399062251,0.0011271064593216,0.8628742643456749,0.4616249051372912,15042,30101
SINE1,gradual,nonuniform,1,20,0.9811650970914242,0.07936507936507874,0.08333333333333265,0.08130081300762972,0.9902348682549035,0.2872622014024376,83,42,0.3091933399062251,0.0011271064593216,0.8628742643456749,0.4616249051372912,15042,30101
SINE1,gradual,nonuniform,1,50,0.9889157429785814,0.23999999999999042,0.049999999999999586,0.08275862068936866,0.9984005387658892,0.2234279009843982,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,nonuniform,1,100,0.9821651804317025,0.03921568627450942,0.033333333333333055,0.036036036035538996,0.9917501473187977,0.18181952107504754,51,35,0.0073236263580707,0.0012407482693307,0.5036582936777547,1.690871591148886,15042,30101
SINE1,gradual,nonuniform,10,5,0.8086507208934076,0.20152505446623084,0.3083333333333331,0.24374176548041773,0.8642466895082876,0.516213194909224,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE1,gradual,nonuniform,10,10,0.8388199016584714,0.24584487534626023,0.2958333333333331,0.2685325264745419,0.89915732938235,0.5157525665881638,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE1,gradual,nonuniform,10,20,0.9058254854571213,0.5403225806451607,0.39083333333333303,0.4535783365565725,0.963052134456894,0.6135086599906876,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,nonuniform,10,50,0.9242436869739143,0.6636670416197967,0.4916666666666663,0.5648635710861548,0.9723122511343641,0.6914141475804464,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,nonuniform,10,100,0.9304108675722975,0.6895119418483897,0.5533333333333329,0.6139620896897504,0.9723122511343641,0.7334935439122927,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,nonuniform,30,5,0.7911492624385364,0.6782920469361146,0.5780555555555554,0.6241751649665096,0.8824860102393141,0.7142310136915733,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,nonuniform,30,10,0.7923993666138843,0.673988076561029,0.5966666666666666,0.632974804773334,0.8762947969996426,0.7230877509286961,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE1,gradual,nonuniform,30,20,0.8324860405033752,0.7718878248974006,0.6269444444444443,0.6919068056402163,0.9205857840219072,0.7597079326471903,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,nonuniform,30,50,0.858738228185682,0.8089523191696397,0.6927777777777776,0.7463713900937717,0.9298726038814142,0.8026176400587031,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,nonuniform,30,100,0.8773231102591882,0.8281924737816161,0.7458333333333331,0.7848582285876332,0.9336825812596735,0.8344888206897519,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,nonuniform,50,5,0.7552296024668721,0.7453933664476845,0.7753333333333332,0.7600686218441205,0.7351225204200699,0.7549602599910105,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,nonuniform,50,10,0.7878156513042752,0.7861166335321403,0.7908333333333332,0.7884679295441991,0.784797466244374,0.7878096192746014,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE1,gradual,nonuniform,50,20,0.8069005750479206,0.8012432520857189,0.8163333333333332,0.8087179063810735,0.7974662443740622,0.8068446427229301,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,gradual,nonuniform,50,50,0.8435702975247936,0.8343876723438766,0.8573333333333332,0.8457048910804699,0.8298049674945823,0.8434568505849533,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE1,gradual,nonuniform,50,100,0.8689890824235351,0.8612924281984333,0.8796666666666665,0.8703825857514788,0.8583097182863809,0.8689225793202674,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE2,abrupt,uniform,1,5,0.9793489674483724,0.038961038961038794,0.044999999999999776,0.04176334106678778,0.9887873124905299,0.21093939665712905,92,8,0.3355125667385895,0.0038791551563567,0.9521921760997948,1.829188539910996,15042,30101
SINE2,abrupt,uniform,1,10,0.9718485924296215,0.031007751937984412,0.0599999999999997,0.04088586030619455,0.9810596494772463,0.24261817526441518,89,23,0.3979789728990963,0.0011668352776388,1.604114277578104,0.6051456361752533,15042,30101
SINE2,abrupt,uniform,1,20,0.9689984499224962,0.0291479820627802,0.06499999999999968,0.04024767801814823,0.9781302085963938,0.2521477018708782,92,8,0.3355125667385895,0.0038791551563567,0.9521921760997948,1.829188539910996,15042,30101
SINE2,abrupt,uniform,1,50,0.9863493174658733,0.0898876404494372,0.0399999999999998,0.05536332179888133,0.9959088842870852,0.1995904691398946,75,48,0.2267942334602636,0.0012156234824321,0.6664717289875649,0.128818709021166,15042,30101
SINE2,abrupt,uniform,1,100,0.9892494624731236,0.37704918032786267,0.11499999999999942,0.1762452107276098,0.9980807111470277,0.33879091159874347,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE2,abrupt,uniform,10,5,0.8263913195659783,0.210691823899371,0.2679999999999999,0.23591549295725356,0.8884382465692539,0.4879564018235235,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE2,abrupt,uniform,10,10,0.8176408820441022,0.20911338749558453,0.2959999999999999,0.24508383357434393,0.8756042002333463,0.5090961041582133,64,6,0.1288509419684017,0.0017027948362089,1.06699692659737,0.2807961568212469,15042,30101
SINE2,abrupt,uniform,10,20,0.9057952897644882,0.5396716826265386,0.3944999999999998,0.45580589254717213,0.962609033835213,0.61623799286314,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE2,abrupt,uniform,10,50,0.927996399819991,0.6822916666666663,0.5239999999999998,0.5927601809949834,0.9728873826323685,0.7139978911028806,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE2,abrupt,uniform,10,100,0.9364468223411171,0.726256983240223,0.5849999999999997,0.6480199390745539,0.9754986388132674,0.7554248498068892,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE2,abrupt,uniform,30,5,0.8044902245112255,0.7094188376753505,0.5899999999999999,0.6442220200177023,0.8964211729409243,0.7272472014625737,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE2,abrupt,uniform,30,10,0.799789989499475,0.6939370384764865,0.5951666666666666,0.6407679885155624,0.8874919637116936,0.7267775682667585,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE2,abrupt,uniform,30,20,0.8352417620881044,0.7812435017675191,0.6261666666666665,0.6951614395406289,0.9248517751267946,0.7609936617291201,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE2,abrupt,uniform,30,50,0.8626431321566078,0.8146643451344553,0.7018333333333332,0.754051392245899,0.9315665404671761,0.8085817524022415,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE2,abrupt,uniform,30,100,0.8807440372018601,0.8366548705531754,0.7486666666666666,0.7902190166236548,0.9373526680477176,0.8377139711610349,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE2,abrupt,uniform,50,5,0.7589379468973448,0.765018933578958,0.7474999999999998,0.7561580092049017,0.7703770377037702,0.7588523148041179,79,47,0.6171273120029617,0.0012116475782585,0.4787499870929471,1.2182971153095623,15042,30101
SINE2,abrupt,uniform,50,10,0.784589229461473,0.7816148822481692,0.7898999999999998,0.7857356013125406,0.7792779277927792,0.7845709879695502,84,38,0.3250894411676213,0.0041067378560757,0.3408133843097541,1.1041050420547447,15042,30101
SINE2,abrupt,uniform,50,20,0.8055902795139757,0.8085621970920839,0.8007999999999998,0.8046623794207217,0.8103810381038102,0.8055762752921235,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE2,abrupt,uniform,50,50,0.839741987099355,0.8368196688807374,0.8440999999999999,0.8404440683023823,0.8353835383538353,0.8397304595669209,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE2,abrupt,uniform,50,100,0.8642432121606081,0.8615384615384614,0.8679999999999999,0.8647571606470714,0.8604860486048603,0.8642348582353171,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,15042,30101
SINE2,abrupt,nonuniform,1,5,0.9453972698634932,0.01835853131749458,0.08499999999999958,0.030195381882478674,0.9540885903328451,0.2847762809264343,85,12,0.3037830537411999,0.0011406341876119,1.9261373496615832,1.58698961111526,15042,30101
SINE2,abrupt,nonuniform,1,10,0.9712485624281214,0.048192771084337234,0.0999999999999995,0.06504065040606496,0.9800494974493661,0.31305742244025475,83,42,0.3091933399062251,0.0011271064593216,0.8628742643456749,0.4616249051372912,15042,30101
